Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Unit Tests: UserService,Task,Psitrix Psynq,Feature: User Management,Normal,New,2026-02-02,2026-02-04,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/user.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: UserService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: User,Task,Psitrix Psynq,Feature: User Management,Normal,New,2026-02-03,2026-02-05,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/user.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: User'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: User,Task,Psitrix Psynq,Feature: User Management,Low,New,2026-01-31,2026-02-01,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/user.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: User'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: User,Task,Psitrix Psynq,Feature: User Management,High,New,2026-01-30,2026-01-31,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateUserTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: User'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: User,Task,Psitrix Psynq,Feature: User Management,Low,New,2026-02-01,2026-02-02,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/user.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: User'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Tenant Management,Feature,Psitrix Psynq,Epic: Authentication,High,New,2026-01-30,2026-02-09,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Multi-tenancy,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Tenant Management'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,High,New,2026-01-30,2026-02-01,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/entities/tenant.entity.ts`
**Class:** `Tenant`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Tenant'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,Normal,New,2026-01-30,2026-01-31,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/dto/create-tenant.dto.ts`
**File:** `packages/backend/src/modules/tenants/dto/update-tenant.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Tenant'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: TenantService,Task,Psitrix Psynq,Feature: Tenant Management,High,New,2026-01-31,2026-02-03,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/tenant.service.ts`
**Class:** `TenantService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: TenantService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: TenantController,Task,Psitrix Psynq,Feature: Tenant Management,High,New,2026-02-01,2026-02-03,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/tenant.controller.ts`
**Class:** `TenantController`
**Endpoints:**
- `POST /api/v1/tenants`
- `GET /api/v1/tenants`
- `GET /api/v1/tenants/:id`
- `PATCH /api/v1/tenants/:id`
- `DELETE /api/v1/tenants/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: TenantController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: TenantService,Task,Psitrix Psynq,Feature: Tenant Management,Normal,New,2026-02-02,2026-02-04,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/tenant.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: TenantService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,Normal,New,2026-02-03,2026-02-05,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/tenant.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Tenant'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,Low,New,2026-01-31,2026-02-01,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/tenants/tenant.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Tenant'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,High,New,2026-01-30,2026-01-31,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateTenantTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Tenant'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Tenant,Task,Psitrix Psynq,Feature: Tenant Management,Low,New,2026-02-01,2026-02-02,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/tenant.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Tenant'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Auth Service,Feature,Psitrix Psynq,Epic: Authentication,High,New,2026-01-30,2026-02-09,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Login/Register,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Auth Service'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Auth,Task,Psitrix Psynq,Feature: Auth Service,High,New,2026-01-30,2026-02-01,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/entities/auth.entity.ts`
**Class:** `Auth`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Auth'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Auth,Task,Psitrix Psynq,Feature: Auth Service,Normal,New,2026-01-30,2026-01-31,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/dto/create-auth.dto.ts`
**File:** `packages/backend/src/modules/auth/dto/update-auth.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Auth'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: AuthService,Task,Psitrix Psynq,Feature: Auth Service,High,New,2026-01-31,2026-02-03,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/auth.service.ts`
**Class:** `AuthService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: AuthService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: AuthController,Task,Psitrix Psynq,Feature: Auth Service,High,New,2026-02-01,2026-02-03,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/auth.controller.ts`
**Class:** `AuthController`
**Endpoints:**
- `POST /api/v1/auths`
- `GET /api/v1/auths`
- `GET /api/v1/auths/:id`
- `PATCH /api/v1/auths/:id`
- `DELETE /api/v1/auths/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: AuthController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: AuthService,Task,Psitrix Psynq,Feature: Auth Service,Normal,New,2026-02-02,2026-02-04,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/auth.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: AuthService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Auth,Task,Psitrix Psynq,Feature: Auth Service,Normal,New,2026-02-03,2026-02-05,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/auth.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Auth'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Auth,Task,Psitrix Psynq,Feature: Auth Service,Low,New,2026-01-31,2026-02-01,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/auth/auth.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Auth'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: Auth,Task,Psitrix Psynq,Feature: Auth Service,High,New,2026-01-30,2026-01-31,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateAuthTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Auth'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Auth,Task,Psitrix Psynq,Feature: Auth Service,Low,New,2026-02-01,2026-02-02,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/auth.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Auth'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Phase: Telephony & WebRTC,Phase,Psitrix Psynq,,High,New,2026-02-14,2026-04-15,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Asterisk Integration,0,Developer,
Epic: Asterisk ARI Integration,Epic,Psitrix Psynq,Phase: Telephony & WebRTC,High,New,2026-02-14,2026-03-16,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,ARI Client,0,Developer,
Feature: Call Control,Feature,Psitrix Psynq,Epic: Asterisk ARI Integration,High,New,2026-02-14,2026-03-01,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Basic Call Control,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Call Control'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Call,Task,Psitrix Psynq,Feature: Call Control,High,New,2026-02-14,2026-02-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/entities/call.entity.ts`
**Class:** `Call`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Call'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
